,Code,Latitude,Longitude,Elevation,Name,Time Range,Time
248,FIE00141940,60.4167,22.4331,26.0,PIIKKIO_TUORLA,1959-2014,55 years
249,FIE00141945,60.4667,22.0331,16.0,NAANTALI_KESKUSTA,1959-2014,55 years
250,FIE00141974,60.3831,22.55,28.0,PIIKKIO_YLTOINEN_VERTAILUAS,1960-2014,54 years
251,FIE00141980,60.1331,22.45,31.0,DRAGSFJARD_SKINNARVIK,1973-2003,30 years
252,FIE00141985,60.1531,22.5608,7.0,KEMIONSAARI_LOVBOLE,1973-2014,41 years
253,FIE00142004,60.45,22.2831,57.0,TURKU_KUPITTAA,1750-2010,260 years
254,FIE00142010,60.4542,22.1817,8.0,TURKU_ARTUKAINEN,1959-2021,62 years
255,FIE00142015,60.1714,22.7606,13.0,KEMIONSAARI_KEMIO_KK,1985-2021,36 years
256,FIE00142020,60.4,23.7667,84.0,SUOMUSJARVI_KETTULA,1959-2012,53 years
257,FIE00142030,60.1,23.5331,8.0,POHJA_POHJANKURU,1959-1993,34 years
258,FIE00142035,60.3733,23.1158,3.0,SALO_KARKKA,1959-2021,62 years
259,FIE00142055,60.3239,23.71,69.0,SALO_SUOMUSJARVI,1959-2012,53 years
260,FIE00142074,60.4631,23.6525,117.0,SALO_KIIKALA_LENTOKENTTA,2002-2015,13 years
261,FIE00142080,60.3269,24.9603,51.0,VANTAA_HELSINKI_VANTAAN_LENTOA,1829-2021,192 years
262,FIE00142090,60.1,24.9167,5.0,HELSINKI_KATAJALUOTO,1829-2014,185 years
263,FIE00142096,60.1831,24.8331,2.0,ESPOO_OTANIEMI,1829-2014,185 years
264,FIE00142101,60.2,24.9167,47.0,HELSINKI_ILMALA,1959-2021,62 years
265,FIE00142106,60.2439,24.0525,37.0,LOHJA_PORLA,1959-2021,62 years
266,FIE00142111,60.2667,24.9667,14.0,HELSINGIN_MLK_TAMMISTO,1829-2014,185 years
267,FIE00142116,60.4183,24.4017,42.0,VIHTI_MAASOJA,1959-2021,62 years
268,FIE00142151,60.2206,24.6042,20.0,ESPOO_NUPURI,1972-2014,42 years
269,FIE00142185,60.1044,24.9783,3.0,HELSINKI_HARMAJA,1829-2021,192 years
270,FIE00142226,60.2028,24.9642,24.0,HELSINKI_KUMPULA,1829-2021,192 years
271,FIE00142230,60.2075,24.7442,31.0,ESPOO_SEPANKYLA,1959-2015,56 years
272,FIE00142235,60.1714,24.9478,3.0,HELSINKI_RAUTATIENTORI,1829-2015,186 years
273,FIE00142241,60.2531,25.0481,15.0,HELSINKI_MALMIN_LENTOASEMA,1829-2021,192 years
274,FIE00142246,60.1331,25.0,10.0,VALLISAARI,1829-2014,185 years
275,FIE00142251,60.2167,25.0331,8.0,HELSINKI_VIIKIN_KOETILA,1829-2014,185 years
276,FIE00142256,60.2831,25.0667,20.0,VANTAA_TIKKURILA,1959-2014,55 years
277,FIE00142261,60.3667,24.9831,49.0,TUUSULA_RUOTSINKYLA,1959-2014,55 years
278,FIE00142266,60.4056,25.6589,17.0,PORVOO_JERNBOLE,1959-2014,55 years
279,FIE00142271,60.4167,25.0331,45.0,TUUSULA_HYRYLA,1959-2014,55 years
280,FIE00142276,60.4667,25.0831,50.0,JARVENPAA,1959-1999,40 years
281,FIE00142296,60.2,25.0831,22.0,HELSINKI_MARJANIEMI,1829-2014,185 years
282,FIE00142305,60.2033,25.6283,20.0,PORVOO_EMASALO,1984-2021,37 years
283,FIE00142311,60.1042,25.0708,4.0,HELSINKI_ISOSAARI,1829-2014,185 years
284,FIE00142320,60.2,25.0494,5.0,HELSINKI_HERTTONIEMI,1829-2014,185 years
285,FIE00142326,60.3681,25.6267,10.0,PORVOO_LEHTIMAKI,1959-2014,55 years
286,FIE00142331,60.3914,25.6114,22.0,PORVOO_HARABACKA,1959-2021,62 years
287,FIE00142341,60.3753,26.9617,9.0,KOTKA_RANKKI,1959-2021,62 years
288,FIE00142356,60.4217,26.3692,4.0,RUOTSINPYHTAA_KEITALA,1971-2007,36 years
289,FIE00142361,60.3667,26.4,4.0,RUOTSINPYHTAA_REIMARS,1971-2014,43 years
290,FIE00142366,60.4331,26.3667,3.0,RUOTSINPYHTAA_TESJOKI,1971-2005,34 years
291,FIE00142385,60.2744,26.4478,3.0,LOVIISA_ORRENGRUND,1972-2021,49 years
292,FIE00142390,60.4542,26.9528,23.0,KOTKA_POOKINMAKI,1959-2014,55 years
293,FIE00142400,60.2864,27.1881,4.0,KOTKA_HAAPASAARI,1986-2021,35 years
294,FIE00142406,60.385,27.0517,17.0,KOTKA_KIRKONMAA,1963-2013,50 years
295,FIE00142411,61.4656,21.7967,13.0,PORI_PORIN_LENTOASEMA,1959-2021,62 years
