Code,Latitude,Longitude,Elevation,Name
FIE00142366,60.4331,26.3667,3.0,RUOTSINPYHTAA_TESJOKI
FIE00142385,60.2744,26.4478,3.0,LOVIISA_ORRENGRUND
FIE00142390,60.4542,26.9528,23.0,KOTKA_POOKINMAKI
FIE00142400,60.2864,27.1881,4.0,KOTKA_HAAPASAARI
FIE00142406,60.385,27.0517,17.0,KOTKA_KIRKONMAA
FIE00142411,61.4656,21.7967,13.0,PORI_PORIN_LENTOASEMA
FIE00142416,61.1392,21.3681,17.0,RAUMA_KUUSKAJASKARI
FIE00142421,60.6294,21.8581,13.0,MIETOINEN_SAARI
FIE00142426,61.1167,21.4667,5.0,RAUMA_KPKI
FIE00142476,61.2331,21.6331,4.0,EURAJOKI_VERKKOKARI
FIE00142486,60.7219,21.03,4.0,KUSTAVI_ISOKARI
FIE00142495,61.1444,21.3058,4.0,RAUMA_KYLMAPIHLAJA
FIE00142506,61.4789,21.7864,9.0,PORI_RAUTATIEASEMA
FIE00142511,60.5153,22.2775,49.0,TURKU_TURUN_LENTOASEMA
FIE00142521,61.1667,22.7831,60.0,HUITTINEN_LAUTTAKYLA
FIE00142526,61.2706,22.2519,37.0,KOKEMAKI_PEIPOHJA_HYRKOLA
FIE00142631,61.2528,22.3494,38.0,KOKEMAKI_TULKKILA
FIE00142641,61.4667,23.75,85.0,TAMPERE_HARMALA_1
FIE00142646,60.8167,23.7667,110.0,TAMMELA_MUSTIALA
FIE00142706,61.4206,23.6231,119.0,PIRKKALA_TAMPERE_PIRKKALAN_LEN
FIE00142731,61.4867,23.7733,83.0,TAMPERE_HATANPAA
FIE00142736,61.4656,23.75,85.0,TAMPERE_HARMALA
FIE00142746,61.0,24.45,92.0,HAMEENLINNA_KAURIALA
FIE00142751,60.5956,24.8064,86.0,HYVINKAA_HYVINKAANKYLA
FIE00142756,61.0667,24.2331,88.0,HATTULA_LETEENSUO
FIE00142766,61.15,24.5831,98.0,HAUHO_HAHKIALA
FIE00142771,61.3378,24.2106,103.0,PALKANE_MYTTAALA
FIE00142846,60.5083,24.6567,111.0,NURMIJARVI_GEOFYSIIKAN_OBSERVA
FIE00142851,60.9992,24.4944,87.0,HAMEENLINNA_KATINEN
FIE00142861,60.9617,25.6342,78.0,LAHTI_LAUNE
FIE00142866,60.8064,25.7719,78.0,ORIMATTILA_KAKELA
FIE00142871,61.0539,25.0419,125.0,HAMEENLINNA_LAMMI_PAPPILA
FIE00142876,61.1831,25.0831,127.0,LAMMI_EVO
FIE00142881,61.3006,25.5456,85.0,ASIKKALA_PULKKILANHARJU_1
FIE00142916,61.0831,25.2331,108.0,KOSKI_HL_HYRKKALA
FIE00142921,61.15,25.25,147.0,LAMMI_VESTOLA
FIE00142991,61.2,25.1331,132.0,LAMMI_EVO
FIE00142995,60.9167,25.5831,87.0,HOLLOLA_ALA_OKEROINEN
FIE00143005,60.5783,25.4914,50.0,MANTSALA_PUROLA
FIE00143011,61.1828,25.04,129.0,HAMEENLINNA_LAMMI_ISO_EVO
FIE00143015,61.265,25.5231,80.0,ASIKKALA_PULKKILANHARJU
FIE00143020,61.2167,25.5,92.0,ASIKKALA_MAATALOPPILAITOS
FIE00143035,61.2164,25.1358,133.0,HAMEENLINNA_LAMMI_EVO
FIE00143041,60.8903,26.9442,99.0,KOUVOLA_UTTI_LENTOPORTINTIE
FIE00143046,60.5,26.9667,14.0,KOTKA_SUNILA
FIE00143051,60.6219,26.1431,26.0,LAPINJARVI_INGERMANNINKYLA
FIE00143056,60.6964,26.8133,33.0,KOUVOLA_ANJALA
FIE00143061,60.9,26.65,61.0,KUUSANKOSKI_KESKUSTA
FIE00143066,61.1994,26.0528,92.0,HEINOLA_ASEMANTAUS
FIE00143211,60.5269,27.6756,5.0,VIROLAHTI_KOIVUNIEMI
FIE00143231,61.0439,28.1542,106.0,LAPPEENRANTA_LENTOASEMA
FIE00143236,61.3667,28.6667,95.0,RUOKOLAHTI_KOTANIEMI
FIE00143265,61.3044,28.1819,86.0,TAIPALSAARI_KYLANIEMI
FIE00143270,61.0392,28.5656,46.0,LAPPEENRANTA_KONNUNSUO
FIE00143276,61.0569,28.2117,103.0,LAPPEENRANTA_LEPOLA
FIE00143295,61.1978,28.4756,77.0,LAPPEENRANTA_HIEKKAPAKKA
FIE00143301,61.4225,29.3944,75.0,RAUTJARVI_SIMPELE_KANGASKOSKI
FIE00143305,61.4442,29.4639,74.0,PARIKKALA_KOITSANLAHTI
FIE00143311,61.5831,21.4831,4.0,MANTYLUOTO_PORI
FIE00143316,62.3339,21.1939,5.0,KASKINEN_SALGRUND
FIE00143346,62.2575,21.3208,1.0,KRISTIINANKAUPUNKI_KARHUSAARI
FIE00143361,62.3206,21.8483,100.0,KARIJOKI_KANKALO
FIE00143365,61.6303,21.3792,3.0,PORI_TAHKOLUOTO
FIE00143370,62.2031,21.1731,0.0,KRISTIINANKAUPUNKI_MAJAKKA
FIE00143381,61.8381,22.4669,122.0,KANKAANPAA_NIINISALO_LENTOKENT
FIE00143386,61.5167,22.9831,92.0,MOUHIJARVI_SELKEE
FIE00143391,62.1831,22.8031,160.0,KARVIA_ALKKIA
FIE00143471,62.4131,22.1867,93.0,KAUHAJOKI_KUJA_KOKKO
FIE00143486,61.9489,23.3767,170.0,KURU_LANSI_AURE
FIE00143491,62.2,23.3167,171.0,KIHNIO_AITONEVA
FIE00143570,62.3275,23.5456,138.0,VIRRAT_AIJANNEVA
FIE00143575,61.5175,23.7569,96.0,TAMPERE_SIILINKARI
FIE00143586,61.8564,24.7892,145.0,JAMSA_HALLI_LENTOKENTTA
FIE00143591,61.55,24.2331,98.0,KANGASALA_KOYRA
FIE00143596,61.8456,24.2906,153.0,JUUPAJOKI_HYYTIALA
FIE00143691,61.8592,24.8181,144.0,JAMSA_HALLI_LENTOASEMANTIE
FIE00143702,62.2331,25.7331,115.0,JYVASKYLA_KESKUSTA
FIE00143797,62.4,25.6,148.0,JYVASKYLAN_MLK_TIKKAKOSKI
FIE00143802,62.2,25.7167,137.0,JYVASKYLA_KELJO
FIE00143806,61.7042,25.5083,81.0,LUHANKA_JUDINSALO
FIE00143812,62.4103,25.0539,181.0,MULTIA_PIRTTIPERA
FIE00143816,61.8856,25.33,205.0,JAMSA_HIMOS
FIE00143822,61.8792,26.0989,146.0,JOUTSA_LEIVONMAKI_SAVENAHO
FIE00143927,61.5314,26.3306,145.0,PERTUNMAA_LAUKKALA
FIE00143952,61.6869,27.21,101.0,MIKKELI_LENTOASEMA
FIE00143962,62.3081,27.8442,91.0,VARKAUS_KAPYKANGAS
FIE00144017,62.2831,26.9831,124.0,PIEKSAMAEN_MLK_NAARAJARVI
FIE00144041,61.8919,27.8881,110.0,JUVA_PARTALA
FIE00144051,62.1733,27.8633,87.0,JOROINEN_VARKAUDEN_LENTOASEMA
FIE00144057,62.3217,27.9108,83.0,VARKAUS_KOSULANNIEMI
FIE00144062,61.5667,28.0789,146.0,PUUMALA_SORJOLA
FIE00144102,61.9458,28.9344,95.0,SAVONLINNA_LENTOASEMA
FIE00144116,61.8406,28.8433,155.0,SAVONLINNA_RUUNAVUORI
FIE00144121,61.5356,28.1917,125.0,PUUMALA_KIRKONKYLA
FIE00144126,62.0628,28.5692,79.0,RANTASALMI_RUKKASLUOTO
FIE00144132,61.8017,29.3181,78.0,PUNKAHARJU_LAUKANSAARI
