,Code,Correlation1,Correlation10,Correlation11,Correlation12,Correlation2,Correlation3,Correlation4,Correlation5,Correlation6,Correlation7,Correlation8,Correlation9,Elevation,Latitude,Longitude,Name,Time,Unnamed: 0
45,CA002400635,0.371389859149997,0.683422332259804,0.5177843138593807,0.3031702402846645,0.2690925312724739,0.35651018062554146,0.2617736526031082,0.4855361271035594,0.31092142973740705,0.3079248138112303,0.4537002496068198,0.5297968686076053,48.0,64.2333,-76.5333,CAPE_DORSET_A,58 years,168.0
46,CA002400650,0.464954088679206,0.5143638205268859,0.3768722626276152,0.3434398204415233,0.5092836118883701,0.4041832940731432,0.17184404193866054,0.3434301856375401,0.5611900287180389,0.4384283156956471,0.516301907072881,0.2664865101348197,725.0,66.65,-61.3833,CAPE_DYER,63 years,171.0
47,CA002400654,0.4863782487631527,0.5716512066620988,0.26413925254669274,0.11326456037661838,0.23057837224234606,0.16186406903584233,-0.02526610521339669,0.3185122671596695,0.5862018336277932,0.20620825066981294,0.2698467926545391,0.2646479677093544,393.0,66.5833,-61.6167,CAPE_DYER_A,65 years,172.0
48,CA002400660,0.3515443125635821,0.667642586782286,0.3848441060644331,0.2780091683561855,0.14632496304268955,0.2675916719723541,0.09220248795442412,0.2297914936204838,0.4024805957012953,0.3869422806216247,0.4545195667693508,0.451008178602316,390.0,68.4667,-66.8167,CAPE_HOOPER,64 years,173.0
49,CA002400800,0.2951201739665637,0.4779742538911493,0.34889249384814225,0.18353219988631594,0.2431750918436075,0.017913487562381616,-0.010245617337023298,0.24105160753965196,0.6027934361595678,0.4166244808642094,0.5347459971848387,0.3667905917878373,27.0,70.4833,-68.5167,CLYDE_A,75 years,175.0
50,CA002401030,0.34489907295463323,0.5307546962174045,0.33726990662734097,0.19585041737192865,0.08972537036306727,0.2408771933918115,0.0061278689253733,0.3757938184162281,0.5784150139593958,0.3650785118578875,0.3750648903136275,0.5056265168870927,527.0,68.65,-71.1667,DEWAR_LAKES,63 years,179.0
51,CA002401200,0.08760864271592693,0.24891701944172945,0.3646800954126514,0.18566215205046627,0.09426975826849752,0.29431902110070834,0.28541134751335806,0.4438849928660715,0.5998884092251191,0.38973105516335854,0.4230461342834987,0.4516344914083657,10.0,79.9833,-85.9333,EUREKA,74 years,180.0
52,CA002402350,0.08646544716011277,0.4549052645530375,0.2816451347865014,0.2878519615003888,0.08312985540674622,0.13650788627208804,0.13346854183189166,0.3678732693826901,0.4777812199579208,0.37407228062006703,0.5251424649131583,0.6203443664198118,9.0,68.7833,-81.25,HALL_BEACH_A,64 years,184.0
53,CA002402354,0.3386330764945392,-0.01146152009459015,0.1346810196249153,-0.04768293551318422,-0.16646489476584836,-0.11332657321506795,-0.01863839742336301,0.1020365209661324,0.22076273051497045,0.16283724654227602,0.4305051907848281,0.525926157181345,9.0,68.7833,-81.25,HALL_BEACH,60 years,186.0
54,CA002402590,0.3343997668416791,0.4818301458621774,0.3002222152542255,0.16784846932697334,0.13003435646826786,0.15196286631216854,0.21924806004649205,0.36709252011162535,0.4218330217144713,0.3486860275996946,0.4374460216827885,0.4303090115117321,34.0,63.75,-68.55,IQALUIT_A,64 years,189.0
55,CA002402594,0.2815900271228329,0.537717122648532,0.3662938104841559,0.31172213775727714,0.3540102457940679,0.3720336998419373,0.3875834530046452,0.3430297613108812,0.31366782633638,0.32866720646673264,0.35214806555207234,0.44043999820252416,22.0,63.75,-68.55,IQALUIT_UA,79 years,191.0
56,CA002402600,0.08091301601553484,0.07034375686846954,0.3958025596556944,0.14503345033348206,0.274912816912663,0.13616537624649,0.3973192725682705,0.35405313366868457,0.6145254841222471,0.4305768709069449,0.11930016427857502,0.4563734487054322,25.0,78.7833,-103.5333,ISACHSEN,65 years,192.0
57,CA002402604,0.2717306014201034,0.34653109930456666,0.5122891423346485,0.24932431765071425,0.044117720945664386,0.05180490274388661,0.3197432910373545,0.35025843385098915,0.6454270977427322,0.4239859125060278,0.16790091576736724,0.4353166408283855,58.0,78.8,-103.55,ISACHSEN_AUT,73 years,193.0
