,Code,Elevation,Latitude,Longitude,Name,Time,Time Range
282,SWE00139346,260,60.38,15.23,IDKERBERGET,65 years,1945-2010
283,SWE00139430,16,60.65,17.17,GAVLE,132 years,1882-2014
284,SWE00139590,412,61.28,12.86,GRUNDFORSEN,67 years,1945-2012
285,SWE00139694,70,61.85,16.5797,BJURAKER,132 years,1882-2014
286,SWE00139720,432,62.0192,14.1903,SVEG,130 years,1882-2012
287,SWE00139800,430,62.42,13.52,HEDE,66 years,1945-2011
288,SWE00139828,110,62.5,16.18,FRANSTA,69 years,1945-2014
289,SWE00139842,585,62.55,12.6,LJUSNEDAL,91 years,1930-2021
290,SWE00139992,375,63.19,14.49,FROSON_D,96 years,1918-2014
291,SWE00140002,360,63.24,14.55,ROSTA,96 years,1918-2014
292,SWE00140022,583,63.32,12.1,STORLIEN,132 years,1882-2014
293,SWE00140186,14,63.83,20.28,UMEA,218 years,1796-2014
294,SWE00140256,240,64.12,16.21,HOTING,65 years,1949-2014
295,SWE00140374,345,64.64,16.41,LAXBACKEN,72 years,1945-2017
296,SWE00140434,296,64.95,19.48,STORLIDEN,68 years,1946-2014
297,SWE00140492,9,65.3197,21.49,PITEA,139 years,1882-2021
298,SWE00140560,12,65.58,22.11,LULEA_BERGNASET,91 years,1930-2021
299,SWE00140568,5,65.62,22.13,LULEA,84 years,1930-2014
300,SWE00140594,450,65.72,15.25,TARNABY,97 years,1917-2014
301,SWE00140714,430,66.3797,17,JACKVIK,76 years,1945-2021
302,SWE00140746,254,66.6297,19.64,JOKKMOKK,136 years,1882-2018
303,SWE00140828,359,67.14,20.65,GALLIVARE_A,127 years,1894-2021
304,SWE00140836,400,67.17,20.67,MALMBERGET,77 years,1944-2021
305,SWE00140954,508,68.43,18.13,RIKSGRANSEN,110 years,1904-2014
306,SWM00002080,330,68.4419,22.4503,KARESUANDO,184 years,1830-2014
307,UK000003005,82,60.1331,-1.1831,LERWICK,92 years,1929-2021
308,USC00500272,35.7,61.1747,-149.905,ANCHORAGE_ARCTICINT,74 years,1941-2015
309,USC00501824,196,61.5222,-144.4408,CHITINA,95 years,1917-2012
310,USC00501987,262.1,65.4939,-144.6422,CIRCLE_HOT_SPRINGS,86 years,1935-2021
311,USC00502107,182,64.8603,-147.8483,COLLEGE_OBSY,73 years,1948-2021
312,USC00502607,259.1,64.7856,-141.2036,EAGLE,122 years,1899-2021
313,USC00502707,166.7,64.6667,-147.1,EIELSON_FLD,65 years,1946-2011
314,USC00502965,130.1,64.8172,-147.8739,FAIRBANKS_AP_2,90 years,1929-2019
315,USC00503165,133.5,66.5664,-145.2655,FORT_YUKON_2,96 years,1917-2013
316,USC00505534,197.8,65.5225,-148.5497,LIVENGOOD_DOT,73 years,1933-2006
317,USC00505644,82.9,64.9989,-150.638,MANLEY_HOT_SPRINGS,105 years,1909-2014
318,USC00505733,52.4,61.5664,-149.2542,MATANUSKA_EXPERIMENT_FARM,104 years,1917-2021
319,USC00505778,630.9,63.7175,-148.9692,MCKINLEY_PARK,98 years,1923-2021
320,USC00505881,312.4,63.9033,-152.2817,MINCHUMINA,76 years,1945-2021
321,USC00505894,150,60.5028,-149.4261,MOOSE_PASS_3_NW,80 years,1941-2021
322,USC00506870,65.8,61.5889,-149.0992,PALMER_JOB_CORPS,73 years,1948-2021
323,USC00507442,0,69.75,-163.05,POINT_LAY,64 years,1941-2005
324,USC00507783,566.3,62.0911,-152.735,PUNTILLA,79 years,1942-2021
325,USC00508140,207.3,64.4942,-146.9767,SALCHA,91 years,1919-2010
326,USC00508239,16.2,63.6936,-170.4808,SAVOONGA,76 years,1929-2005
327,USC00508437,3,66.25,-166.0667,SHISHMAREF,86 years,1919-2005
328,USC00509015,60.4,65.1667,-152.1,TANANA,131 years,1882-2013
329,USC00509385,481.3,61.6511,-145.1703,TONSINA,107 years,1907-2014
330,USC00509641,144.8,64.8569,-147.8611,UNIVERSITY_EXP_STN,117 years,1904-2021
331,USC00509829,18.3,60.7764,-148.6858,WHITTIER,69 years,1942-2011
332,USC00509869,349.6,67.4192,-150.1069,WISEMAN,102 years,1919-2021
333,USR0000AFAI,138.4,64.8367,-147.615,FAIRBANKS_ALASKA,90 years,1931-2021
334,USW00026409,42.1,61.2169,-149.855,ANCHORAGE_MERRILL_FLD,105 years,1916-2021
335,USW00026410,9.4,60.4889,-145.4511,CORDOVA_M_K_SMITH_AP,112 years,1909-2021
336,USW00026411,131.7,64.8039,-147.8761,FAIRBANKS_INTL_AP,99 years,1922-2021
337,USW00026412,522.1,62.9614,-141.9292,NORTHWAY_AP,79 years,1942-2021
338,USW00026415,389.2,63.9944,-145.7214,BIG_DELTA_AP,102 years,1919-2021
339,USW00026425,476.1,62.1592,-145.4589,GULKANA_AP,112 years,1909-2021
340,USW00026435,109.7,64.55,-149.0717,NENANA_MUNI_AP,104 years,1917-2021
341,USW00026438,6.7,60.1283,-149.4167,SEWARD_AP,113 years,1908-2021
342,USW00026440,469.7,63.3783,-143.3483,TANACROSS,97 years,1904-2001
343,USW00026442,29,61.1303,-146.3517,VALDEZ_WSO,105 years,1909-2014
344,USW00026445,8.2,60.0833,-142.5,YAKATAGA_AP,61 years,1943-2004
